Symbol,Date,Adj Close
IBM,7/23/2009,86.963547
MSFT,3/14/2017,61.812801
IBM,1/31/2013,160.437073
IBM,11/1/2010,109.020035
IBM,7/11/2012,145.100937
IBM,3/16/2011,117.363403
AAPL,11/16/2009,25.859125
IBM,12/24/2018,105.08287
AAPL,2/24/2011,42.910404
AAPL,9/28/2015,105.337044
IBM,9/5/2012,153.421448
MSFT,11/5/2014,42.985371
IBM,1/3/2012,144.750931
AAPL,7/9/2014,87.427269
IBM,12/2/2010,110.925621
AAPL,7/7/2011,44.702518
MSFT,5/12/2015,43.100109
AAPL,8/28/2012,84.81179
IBM,4/27/2009,73.866753
AAPL,4/13/2017,136.246109
IBM,4/6/2017,156.3815
MSFT,11/20/2018,100.903961
AAPL,11/24/2015,111.846962
MSFT,7/2/2018,98.411942
MSFT,6/27/2016,45.602867
AAPL,1/20/2016,91.063828
IBM,6/23/2016,137.327057
IBM,1/24/2012,149.125366
IBM,5/15/2013,162.066818
AAPL,5/29/2014,83.191628
AAPL,1/27/2015,100.962952
AAPL,1/25/2017,117.220779
MSFT,4/13/2011,20.854939
IBM,4/27/2016,130.489655
MSFT,11/6/2015,50.647339
IBM,9/12/2011,125.69146
